original_package_relative_path,archive_path,archive_member,size_bytes,sha256,decode_status,decoded_relative_path,notes
model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,142500,932d658294cceeb939bf1c0b9f217988c05d3e61044b66fcaf740536b806a470,failed,,stage 1 unix_pack_static_huffman: failed: too many leaves in pack Huffman tree
code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,477017,8aba54d6303923aaa4c01903877a3e77e49fda89f70b74ef5b111f2e147651f4,partial,data/decoded_model_outputs/rf8904e/plt.vcr8904,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,273761,686d2da2f88b6877dc45c3d40d36699da06fa41837cde934a4bad746d14b3e45,partial,data/decoded_model_outputs/rf8904e/plt.wis.8904,stage 1 unix_compress_lzw: partial: compress invalid code 437 with table end 362
model_setup/bethesda_slate/rf8904e/rep.521dd.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.521dd.Z,8725,2a85d0977005fe76d282b869fb60919ba60a3e9446efc00847195012ca3a66e5,partial,data/decoded_model_outputs/rf8904e/rep.521dd,stage 1 unix_compress_lzw: partial: compress invalid code 1731 with table end 1105
model_setup/bethesda_slate/rf8904e/rep.611.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.611.Z,101073,630b6bc2dd50f14b566da278b02a0d38bf99bac8a3ecf479faa59031f67491ad,partial,data/decoded_model_outputs/rf8904e/rep.611,stage 1 unix_compress_lzw: partial: compress invalid code 845 with table end 688
model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,681,554152365f264803d43b159b612d9ab75e18349d6a50dacd6647ac8bc80c375e,partial,data/decoded_model_outputs/rf8904e/rep.PAzone,stage 1 unix_compress_lzw: partial: compress invalid code 882 with table end 696
model_setup/bethesda_slate/rf8904e/rep.critical.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.critical.Z,5511,25d9010137356c48aea97bb3fa465c9b3af6257988db984b739c98dfef7598ef,partial,data/decoded_model_outputs/rf8904e/rep.critical,stage 1 unix_compress_lzw: partial: compress invalid code 1449 with table end 1039
model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,68523,cb1e2cfd257bc84ff52f4b65e9418cb9118cdf64bbd80bd52ffd3baab2118813,partial,data/decoded_model_outputs/rf8904e/rep.sigstat,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,653,67c8737e5699b325cbbc653c035b7e53938462fe4ce4bcc751e220015f418734,complete,data/decoded_model_outputs/rf8904e/rep.sumtime1,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,275,424ef13a7674ed86e2b48d2752faaccd4ab3421ff971eaab4491dd949677ab13,complete,data/decoded_model_outputs/rf8904e/rep.turnpen,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf8904e/rep.turnvols.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/rep.turnvols.Z,5086,2f16b88f068732f5d9a8afac4afd44decf3ea6b4bf98fedd4fc6acc44f4c8b0c,partial,data/decoded_model_outputs/rf8904e/rep.turnvols,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
model_setup/bethesda_slate/rf8904e/turnvols.in.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf8904e/turnvols.in.Z,22378,715095b3ecbce3ae18d80745741f036e9a91c8a8a751684c4eafcd42e32f6bd6,partial,data/decoded_model_outputs/rf8904e/turnvols.in,stage 1 unix_compress_lzw: partial: compress invalid code 441 with table end 362
model_setup/bethesda_slate/rf9612a/d231.in.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/d231.in.Z,48570,606aa67b6be7aa5b8a3fdac4255fbae7c869c4ee6681fd332949683ac18fdff7,partial,data/decoded_model_outputs/rf9612a/d231.in,stage 1 unix_compress_lzw: partial: compress invalid code 1743 with table end 1434
model_setup/bethesda_slate/rf9612a/d231.out.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/d231.out.Z,47085,a23c6e615bd7a7a2604e72fc1d99f3c8e4d4be8f0a62936e4d5c13597bfad02d,partial,data/decoded_model_outputs/rf9612a/d231.out,stage 1 unix_compress_lzw: partial: compress invalid code 874 with table end 684
model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,2191,b29c88f85b5daca43c107271aec10ead408e366ba252c5961ffdc73e4466151d,complete,data/decoded_model_outputs/rf9612a/d231.turnpro,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf9612a/externs1.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/externs1.Z,619,48a0ecb8afca9a00d80530ce07ac9130bef597cfec92c02459ae9c613496b49c,complete,data/decoded_model_outputs/rf9612a/externs1,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf9612a/externs2.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/externs2.Z,574,8fa578805937700bf358cf0921c2da2a0e7c9043521c4fe8f202f692d58909b5,complete,data/decoded_model_outputs/rf9612a/externs2,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf9612a/plt.diff9689.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/plt.diff9689.Z,490117,bb3c4c063cd564f55696d20915046f04f83295d07f0dbb793cdd5f959e9dc258,partial,data/decoded_model_outputs/rf9612a/plt.diff9689,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
model_setup/bethesda_slate/rf9612a/plt.vcr9612.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/plt.vcr9612.Z,519639,f7e226b46732c983cd0f31997a04600924c3b3c452f38b5fae3679198e8da705,partial,data/decoded_model_outputs/rf9612a/plt.vcr9612,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
model_setup/bethesda_slate/rf9612a/rep.521dd.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.521dd.Z,8790,f7ad919728f75251a4c758755d69e0cd52cb30a46a74cb5650244dd3ea7443dd,partial,data/decoded_model_outputs/rf9612a/rep.521dd,stage 1 unix_compress_lzw: partial: compress invalid code 436 with table end 378
model_setup/bethesda_slate/rf9612a/rep.611.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.611.Z,104273,393d2b3c0803150d1ff43ab5d451c615ffec1cef8cea40807847e98a535b7b4e,partial,data/decoded_model_outputs/rf9612a/rep.611,stage 1 unix_compress_lzw: partial: compress invalid code 1995 with table end 1825
model_setup/bethesda_slate/rf9612a/rep.PAzone.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.PAzone.Z,696,c27a2d5311ba87be828e1765614762438c63aff17e7fc0bf1c821893971267fa,partial,data/decoded_model_outputs/rf9612a/rep.PAzone,stage 1 unix_compress_lzw: partial: compress invalid code 857 with table end 708
model_setup/bethesda_slate/rf9612a/rep.critical.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.critical.Z,5580,9020381735298a092362d0e853fe18ea95551c9ae8024c24ce2c7f0a6df0d089,partial,data/decoded_model_outputs/rf9612a/rep.critical,stage 1 unix_compress_lzw: partial: compress invalid code 868 with table end 756
model_setup/bethesda_slate/rf9612a/rep.sigstat.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.sigstat.Z,69483,89ce8c7f3b639f42cfdd18742eae4902c3f4a46f433811de190df4ae86b73895,partial,data/decoded_model_outputs/rf9612a/rep.sigstat,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
model_setup/bethesda_slate/rf9612a/rep.sumtime1.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.sumtime1.Z,651,021175a41455128285c1ea0096ba754032a095a64ccfa8bec58352445318d145,complete,data/decoded_model_outputs/rf9612a/rep.sumtime1,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf9612a/rep.turnpen.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.turnpen.Z,272,d2280c610e5cc43c76ac0d0381a61f3cbeea71af71730087e87e5cc97fe6abce,partial,data/decoded_model_outputs/rf9612a/rep.turnpen,stage 1 unix_compress_lzw: partial: compress invalid code 436 with table end 378
model_setup/bethesda_slate/rf9612a/rep.turnvols.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/rep.turnvols.Z,5305,f4c96c13738421cc5c7c9a2e255382cd8812c39034b3ca56f323379f2250bf10,partial,data/decoded_model_outputs/rf9612a/rep.turnvols,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
model_setup/bethesda_slate/rf9612a/statistics.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/statistics.Z,553,44ce06285343eb06daf40f0c6e10ebbb720fa3b1380f8766856a1d0148bad169,partial,data/decoded_model_outputs/rf9612a/statistics,stage 1 unix_compress_lzw: partial: compress invalid code 852 with table end 680
model_setup/bethesda_slate/rf9612a/turnvols.in.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9612a/turnvols.in.Z,22567,b9156c4007c3739aae82165a7a8dae7995d7a7413ee6ad86de133affca0a8aab,partial,data/decoded_model_outputs/rf9612a/turnvols.in,stage 1 unix_compress_lzw: partial: compress invalid code 1488 with table end 1215
model_setup/bethesda_slate/rf9613a/d231.in.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/d231.in.Z,48894,2b8510790884d9717ccbae497e143ec969ac2d772939a2a915a6f2461d88f743,partial,data/decoded_model_outputs/rf9613a/d231.in,stage 1 unix_compress_lzw: partial: compress invalid code 1468 with table end 1313
model_setup/bethesda_slate/rf9613a/d231.out.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/d231.out.Z,47327,746976672379b67e3b3b96543ca7b077e26f4686884c7eb2b4bc27a410933f55,partial,data/decoded_model_outputs/rf9613a/d231.out,stage 1 unix_compress_lzw: partial: compress invalid code 3394 with table end 2649
model_setup/bethesda_slate/rf9613a/plt.vcr9613.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/plt.vcr9613.Z,520030,a8350021b55525f8cf5d77385b55c20e9a50ba2d43ed4349d7c1df7ac36c3a80,partial,data/decoded_model_outputs/rf9613a/plt.vcr9613,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
model_setup/bethesda_slate/rf9613a/rep.521dd.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/rep.521dd.Z,8821,162e42795d5d86f3f947e70bf9573a39a9371ccadc7bf135060a03e2552660e8,partial,data/decoded_model_outputs/rf9613a/rep.521dd,stage 1 unix_compress_lzw: partial: compress invalid code 843 with table end 716
model_setup/bethesda_slate/rf9613a/rep.611.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/rep.611.Z,104311,3a0017255e83dc15846c4c58151e45b47eaace305298a08cdcd76f9a3513507d,partial,data/decoded_model_outputs/rf9613a/rep.611,stage 1 unix_compress_lzw: partial: compress invalid code 841 with table end 680
model_setup/bethesda_slate/rf9613a/rep.critical.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/rep.critical.Z,5595,536bed3a5dc5f87b0630821e157bec90487f36bc7681e167baf7f3564465c701,partial,data/decoded_model_outputs/rf9613a/rep.critical,stage 1 unix_compress_lzw: partial: compress invalid code 434 with table end 402
model_setup/bethesda_slate/rf9613a/rep.sigstat.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/rep.sigstat.Z,69893,ebb97d2254f9c25b2fed45d8281151f5c26286fcb2798571521e0ab4cc99d589,partial,data/decoded_model_outputs/rf9613a/rep.sigstat,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
model_setup/bethesda_slate/rf9613a/rep.sumtime1.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/rep.sumtime1.Z,648,de7f9970a6c832a5588162897f7908f968f2f3c03d7614dbff3298734f5040a1,complete,data/decoded_model_outputs/rf9613a/rep.sumtime1,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf9613a/rep.turnpen.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/rep.turnpen.Z,280,fd1ffefbb2aea3b29181d5c74152eb3727727dc6a0c6efca8b30b9d0cc7e8fbc,complete,data/decoded_model_outputs/rf9613a/rep.turnpen,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
model_setup/bethesda_slate/rf9613a/rep.turnvols.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/rep.turnvols.Z,5345,84fbe0e4301b89b42461ed5705be409d04b3f94e701d3ea8498757d3c4ba85a7,partial,data/decoded_model_outputs/rf9613a/rep.turnvols,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
model_setup/bethesda_slate/rf9613a/statistics.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/statistics.Z,550,a06c2e28cabf2e628fc0fb037cf94cdfba27220681819d5880be5e2ba452a88f,partial,data/decoded_model_outputs/rf9613a/statistics,stage 1 unix_compress_lzw: partial: compress invalid code 861 with table end 668
model_setup/bethesda_slate/rf9613a/turnvols.in.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9613a/turnvols.in.Z,22718,b088102519e5fe809c33bbb602562875e3044f926fea359ee4c6d8c768e7c3b5,partial,data/decoded_model_outputs/rf9613a/turnvols.in,stage 1 unix_compress_lzw: partial: compress invalid code 854 with table end 664
model_setup/bethesda_slate/rf9618a/d231.in.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9618a/d231.in.Z,48780,2b1b3df2006435273a78e1d44f69f03b5df617f9f65a24cd464f8175d8d5e677,partial,data/decoded_model_outputs/rf9618a/d231.in,stage 1 unix_compress_lzw: partial: compress invalid code 1394 with table end 1023
model_setup/bethesda_slate/rf9618a/d231.out.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9618a/d231.out.Z,47261,041f8d27439103d9dcd8abade6299bc6bfd1681d5faeb947f63a71c9df7575f6,partial,data/decoded_model_outputs/rf9618a/d231.out,stage 1 unix_compress_lzw: partial: compress invalid code 869 with table end 712
model_setup/bethesda_slate/rf9618a/plt.vcr9618.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9618a/plt.vcr9618.Z,502879,f9d421921a4bb11f7fa6974e9344bfa43927cc6c7609fa776f47187ccde450ae,partial,data/decoded_model_outputs/rf9618a/plt.vcr9618,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
model_setup/bethesda_slate/rf9618a/rep.521dd.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9618a/rep.521dd.Z,8806,24948036dfc40e399d4467ffa5809bba4397742e29a8f3156ceef1c43fc5bb93,partial,data/decoded_model_outputs/rf9618a/rep.521dd,stage 1 unix_compress_lzw: partial: compress invalid code 1471 with table end 1159
model_setup/bethesda_slate/rf9618a/rep.611.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9618a/rep.611.Z,103167,591dd8060ff88b8c3e50601ab8417836383c97a7ee6e30386c78815efb9d5964,partial,data/decoded_model_outputs/rf9618a/rep.611,stage 1 unix_compress_lzw: partial: compress invalid code 862 with table end 716
model_setup/bethesda_slate/rf9618a/rep.critical.Z,data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip,model_setup/bethesda_slate/rf9618a/rep.critical.Z,5566,35026a90053ad02c915cbd70638d648637a4698a408d059c8c52be35db937f3f,partial,data/decoded_model_outputs/rf9618a/rep.critical,stage 1 unix_compress_lzw: partial: compress invalid code 3502 with table end 2891
