source_path,source_relative_path,stage,input_format,decoder_method,status,input_bytes,output_bytes,expected_length,eof_verified,note
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,1,unix_pack_static_huffman,internal_pack_static_huffman,failed,142500,0,143245,no,too many leaves in pack Huffman tree
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,1,unix_compress_lzw,internal_compress_lzw,partial,477017,133,,no,compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,1,unix_compress_lzw,internal_compress_lzw,partial,273761,148,,no,compress invalid code 437 with table end 362
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.521dd.Z,model_setup/bethesda_slate/rf8904e/rep.521dd.Z,1,unix_compress_lzw,internal_compress_lzw,partial,8725,2195,,no,compress invalid code 1731 with table end 1105
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.611.Z,model_setup/bethesda_slate/rf8904e/rep.611.Z,1,unix_compress_lzw,internal_compress_lzw,partial,101073,985,,no,compress invalid code 845 with table end 688
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.critical.Z,model_setup/bethesda_slate/rf8904e/rep.critical.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5511,2765,,no,compress invalid code 1449 with table end 1039
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,1,unix_compress_lzw,internal_compress_lzw,partial,681,2145,,no,compress invalid code 882 with table end 696
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,1,unix_compress_lzw,internal_compress_lzw,partial,68523,101,,no,compress invalid code 323 with table end 321
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,1,unix_compress_lzw,internal_compress_lzw,complete,653,1213,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,2,unknown,,terminal_plain_or_unknown,1213,1213,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,1,unix_compress_lzw,internal_compress_lzw,complete,275,473,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,2,unknown,,terminal_plain_or_unknown,473,473,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.turnvols.Z,model_setup/bethesda_slate/rf8904e/rep.turnvols.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5086,2,,no,compress invalid code 259 with table end 257
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/turnvols.in.Z,model_setup/bethesda_slate/rf8904e/turnvols.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,22378,235,,no,compress invalid code 441 with table end 362
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/d231.in.Z,model_setup/bethesda_slate/rf9612a/d231.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,48570,4423,,no,compress invalid code 1743 with table end 1434
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/d231.out.Z,model_setup/bethesda_slate/rf9612a/d231.out.Z,1,unix_compress_lzw,internal_compress_lzw,partial,47085,1184,,no,compress invalid code 874 with table end 684
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,1,unix_compress_lzw,internal_compress_lzw,complete,2191,7059,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,2,unknown,,terminal_plain_or_unknown,7059,7059,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/externs1.Z,model_setup/bethesda_slate/rf9612a/externs1.Z,1,unix_compress_lzw,internal_compress_lzw,complete,619,994,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/externs1.Z,model_setup/bethesda_slate/rf9612a/externs1.Z,2,unknown,,terminal_plain_or_unknown,994,994,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/externs2.Z,model_setup/bethesda_slate/rf9612a/externs2.Z,1,unix_compress_lzw,internal_compress_lzw,complete,574,903,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/externs2.Z,model_setup/bethesda_slate/rf9612a/externs2.Z,2,unknown,,terminal_plain_or_unknown,903,903,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/plt.diff9689.Z,model_setup/bethesda_slate/rf9612a/plt.diff9689.Z,1,unix_compress_lzw,internal_compress_lzw,partial,490117,133,,no,compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/plt.vcr9612.Z,model_setup/bethesda_slate/rf9612a/plt.vcr9612.Z,1,unix_compress_lzw,internal_compress_lzw,partial,519639,133,,no,compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.521dd.Z,model_setup/bethesda_slate/rf9612a/rep.521dd.Z,1,unix_compress_lzw,internal_compress_lzw,partial,8790,167,,no,compress invalid code 436 with table end 378
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.611.Z,model_setup/bethesda_slate/rf9612a/rep.611.Z,1,unix_compress_lzw,internal_compress_lzw,partial,104273,5190,,no,compress invalid code 1995 with table end 1825
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.critical.Z,model_setup/bethesda_slate/rf9612a/rep.critical.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5580,1566,,no,compress invalid code 868 with table end 756
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.PAzone.Z,model_setup/bethesda_slate/rf9612a/rep.PAzone.Z,1,unix_compress_lzw,internal_compress_lzw,partial,696,2140,,no,compress invalid code 857 with table end 708
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.sigstat.Z,model_setup/bethesda_slate/rf9612a/rep.sigstat.Z,1,unix_compress_lzw,internal_compress_lzw,partial,69483,101,,no,compress invalid code 323 with table end 321
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.sumtime1.Z,model_setup/bethesda_slate/rf9612a/rep.sumtime1.Z,1,unix_compress_lzw,internal_compress_lzw,complete,651,1220,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.sumtime1.Z,model_setup/bethesda_slate/rf9612a/rep.sumtime1.Z,2,unknown,,terminal_plain_or_unknown,1220,1220,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.turnpen.Z,model_setup/bethesda_slate/rf9612a/rep.turnpen.Z,1,unix_compress_lzw,internal_compress_lzw,partial,272,167,,no,compress invalid code 436 with table end 378
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/rep.turnvols.Z,model_setup/bethesda_slate/rf9612a/rep.turnvols.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5305,2,,no,compress invalid code 259 with table end 257
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/statistics.Z,model_setup/bethesda_slate/rf9612a/statistics.Z,1,unix_compress_lzw,internal_compress_lzw,partial,553,1226,,no,compress invalid code 852 with table end 680
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9612a/turnvols.in.Z,model_setup/bethesda_slate/rf9612a/turnvols.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,22567,3575,,no,compress invalid code 1488 with table end 1215
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/d231.in.Z,model_setup/bethesda_slate/rf9613a/d231.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,48894,3928,,no,compress invalid code 1468 with table end 1313
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/d231.out.Z,model_setup/bethesda_slate/rf9613a/d231.out.Z,1,unix_compress_lzw,internal_compress_lzw,partial,47327,9770,,no,compress invalid code 3394 with table end 2649
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/plt.vcr9613.Z,model_setup/bethesda_slate/rf9613a/plt.vcr9613.Z,1,unix_compress_lzw,internal_compress_lzw,partial,520030,133,,no,compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.521dd.Z,model_setup/bethesda_slate/rf9613a/rep.521dd.Z,1,unix_compress_lzw,internal_compress_lzw,partial,8821,973,,no,compress invalid code 843 with table end 716
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.611.Z,model_setup/bethesda_slate/rf9613a/rep.611.Z,1,unix_compress_lzw,internal_compress_lzw,partial,104311,971,,no,compress invalid code 841 with table end 680
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.critical.Z,model_setup/bethesda_slate/rf9613a/rep.critical.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5595,328,,no,compress invalid code 434 with table end 402
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.sigstat.Z,model_setup/bethesda_slate/rf9613a/rep.sigstat.Z,1,unix_compress_lzw,internal_compress_lzw,partial,69893,101,,no,compress invalid code 323 with table end 321
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.sumtime1.Z,model_setup/bethesda_slate/rf9613a/rep.sumtime1.Z,1,unix_compress_lzw,internal_compress_lzw,complete,648,1220,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.sumtime1.Z,model_setup/bethesda_slate/rf9613a/rep.sumtime1.Z,2,unknown,,terminal_plain_or_unknown,1220,1220,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.turnpen.Z,model_setup/bethesda_slate/rf9613a/rep.turnpen.Z,1,unix_compress_lzw,internal_compress_lzw,complete,280,481,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.turnpen.Z,model_setup/bethesda_slate/rf9613a/rep.turnpen.Z,2,unknown,,terminal_plain_or_unknown,481,481,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/rep.turnvols.Z,model_setup/bethesda_slate/rf9613a/rep.turnvols.Z,1,unix_compress_lzw,internal_compress_lzw,partial,5345,2,,no,compress invalid code 259 with table end 257
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/statistics.Z,model_setup/bethesda_slate/rf9613a/statistics.Z,1,unix_compress_lzw,internal_compress_lzw,partial,550,1177,,no,compress invalid code 861 with table end 668
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9613a/turnvols.in.Z,model_setup/bethesda_slate/rf9613a/turnvols.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,22718,1265,,no,compress invalid code 854 with table end 664
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/d231.in.Z,model_setup/bethesda_slate/rf9618a/d231.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,48780,2645,,no,compress invalid code 1394 with table end 1023
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/d231.out.Z,model_setup/bethesda_slate/rf9618a/d231.out.Z,1,unix_compress_lzw,internal_compress_lzw,partial,47261,1273,,no,compress invalid code 869 with table end 712
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/plt.vcr9618.Z,model_setup/bethesda_slate/rf9618a/plt.vcr9618.Z,1,unix_compress_lzw,internal_compress_lzw,partial,502879,133,,no,compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.521dd.Z,model_setup/bethesda_slate/rf9618a/rep.521dd.Z,1,unix_compress_lzw,internal_compress_lzw,partial,8806,2328,,no,compress invalid code 1471 with table end 1159
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf9618a/rep.611.Z,model_setup/bethesda_slate/rf9618a/rep.611.Z,1,unix_compress_lzw,internal_compress_lzw,partial,103167,1063,,no,compress invalid code 862 with table end 716
